sample,kx,ky,kz,q,A_proj,force_factor
358,0.921639,-0.324076,-0.213439,0.710693,82084.8,140422
359,0.518557,-0.831985,-0.197228,0.772088,63422.3,112390
360,-0.575082,-0.808245,0.126572,0.501076,66889.2,100406
361,-0.352707,0.893329,0.278498,0.649494,56956.6,93949.5
362,0.872615,-0.393555,0.289236,0.718744,80714.8,138728
363,0.190302,0.275258,-0.942347,0.821728,31130.9,56712
364,-0.442129,-0.609064,-0.658455,0.550985,55853.4,86627.8
365,-0.252255,-0.559313,-0.789643,0.680821,40783.7,68550
366,-0.354654,0.48724,-0.798008,0.601895,49265.2,78917.6
367,-0.222613,-0.0197743,-0.974706,0.615023,26251.8,42397.2
368,0.532966,0.543491,-0.64851,0.766294,63472.9,112112
369,-0.410364,0.857272,0.310944,0.611298,60680.9,97775
370,0.288279,-0.353563,0.889881,0.793058,39226.4,70335.1
371,-0.744365,0.00208835,-0.66777,0.341517,64183.9,86103.8
372,-0.748218,-0.0746629,-0.659239,0.355197,66257.4,89791.8
373,-0.917647,0.356756,-0.175068,0.369263,84276.7,115397
374,-0.681554,0.0183352,0.731538,0.360757,60390.7,82177.1
375,0.691002,0.257566,-0.675408,0.728341,67452.7,116581
376,0.429912,-0.824957,-0.366908,0.787705,57756.2,103251
377,-0.0060224,0.19736,-0.980313,0.904331,14716.9,28025.9
378,-0.526871,0.777467,0.343441,0.545407,67712.5,104643
379,-0.881595,0.180506,0.436128,0.351544,78426.7,105997
380,-0.63454,0.677047,-0.372782,0.492715,73346.6,109486
381,-0.252333,-0.163626,0.953706,0.613082,32224.3,51980.4
382,0.156267,-0.547374,-0.822169,0.854243,33151.7,61471.4
383,-0.554301,-0.817656,0.155524,0.511138,65747.3,99353.2
384,0.143821,0.461443,-0.875434,0.858099,32528.9,60441.8
385,0.0578979,-0.723269,-0.688135,0.908745,28820.4,55010.9
386,0.874147,-0.143979,-0.463829,0.705875,75900.1,129476
387,0.783684,-0.455176,0.422675,0.729804,76491.7,132316
388,0.270811,-0.836065,-0.477134,0.825218,46544.6,84954
389,0.278187,-0.838876,-0.467867,0.823148,47114,85895.7
390,0.518822,0.521233,-0.677598,0.766697,61945.5,109439
391,0.783392,-0.0605333,0.618573,0.708482,68085.3,116322
392,-0.861219,0.444957,-0.245592,0.396846,83094.3,116070
393,-0.523495,-0.654415,0.545613,0.516922,62527.1,94848.7
394,-0.020894,0.976259,-0.215594,0.920438,32814.6,63018.5
395,-0.584676,-0.328468,-0.741797,0.445246,60592.3,87570.7
396,0.450763,-0.451746,-0.769895,0.766331,53274.8,94100.9
397,0.669777,0.329733,-0.665339,0.73577,67878.4,117821
398,-0.870691,0.0325831,-0.490751,0.32523,73520.9,97432.2
399,0.245624,0.36086,-0.899694,0.810009,37664.3,68172.8
400,0.0460008,0.250032,0.967144,0.896539,19455.7,36898.4
401,0.868553,-0.426185,0.252947,0.720397,80917.3,139210
402,-0.140742,-0.150402,-0.978555,0.745915,23189.2,40486.3
403,-0.548864,0.0219648,-0.835623,0.398234,50850.7,71101.1
404,0.520346,-0.206162,0.828696,0.738529,53065.7,92256.3
405,0.0636353,0.363489,0.929423,0.89311,23918.3,45279.9
406,-0.79847,-0.480763,0.362371,0.405797,78108.4,109805
407,-0.0826604,-0.85559,-0.511012,0.876565,32665.1,61298.2
408,0.0442869,0.996242,-0.0744358,0.917882,34037.5,65279.9
409,0.649454,-0.646001,-0.401113,0.750991,70629.5,123672
410,0.359967,-0.608547,0.707173,0.793681,49759.3,89252.2
411,0.464436,0.761157,-0.452703,0.787935,63001.9,112643
412,0.728238,0.165997,0.664917,0.719017,67620.9,116241
413,0.530541,0.830693,-0.168748,0.778595,67849,120676
414,-0.0971218,-0.726902,0.679839,0.858661,32050,59570.1
415,0.424489,0.810922,0.402759,0.796723,61014.5,109626
416,0.141099,0.919616,0.366603,0.877583,41830,78539.3
417,0.737931,-0.16254,-0.65501,0.716173,67353,115589
418,0.708253,0.296803,-0.640535,0.729962,69684.3,120551
419,0.0100726,0.99381,-0.110638,0.923537,31598.3,60780.5
420,0.117582,-0.444029,0.888264,0.867086,28186.2,52626
421,0.065316,-0.953177,-0.295276,0.906462,31938.1,60888.7
422,0.3954,0.916175,-0.0654413,0.803645,58984.9,106388
423,-0.808208,0.574355,-0.130058,0.423817,81841.1,116527
424,-0.479768,-0.793207,-0.375028,0.548326,61107,94613.6
